city,city_type,% of respondents who are willing to conceded personal data in order to improve traffic congestion,% of respondents who are comfortable with face recognition technologies to lower crime,% of respondents who feel the availability of online information has increased their trust in authorities,% of day-to-day payment transactions that re non-cash,population_2020,population_source,overall_rating,overall_ranking,smartcity_source,capture_date,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010
Barcelona,smart city,59.4,72,58.2,65.7,5258000,IMD Smart City Index 2020,6,49,IMD Smart City Index 2020,11/12/2020,117042,19,44,1,0,0,48,8,62,62,35,54,0,0,62,77,31,63,62,54,0,0,1,39,1,1,6,1,1,1,1,32,2,77,27,1,1,4003,4003,2123,2,0,0,1168,19,2,0,2815,2815,0,0,0,0,0,0,51,38,659,403,398,423,32,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,15,2,1,1,0,15,15,16,15,34,240,0,0,41,41,51,41,41,31,502,2829,4289,63,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1,80,2850,4,2885,0,0,448,24,503,80,447,434,601,602,14,34,69,34,6,1244,1249,1249,1249,1249,41,6,6,61,0,0,0,0,0,0,0,0,19,2,2450,0,0,4030,33,54,1138,1138,1138,5491,2382,1,212,1336,89,1336,5,0,0,0,1226,6,1346,121,4296,0,0,0,0,0,1538,603,604,1269,1269,391,1125,1541,89,89,89,89,89,89,89,44,1374,0,0,456,0,0,0,0,0,0,65,128,4,18,79,0,20,2,182,3045,3045,3046,572,451,4753,291,0,3,23,0,1,77,0,0,153,153,203,234,234,234,38,55,0,0,3,558,6,608,0,0,0,59,0,23,0,105,539,434,14,14,0,1,44,44,44,0,0,0,0,51,51,1,55,1340,1,0,0,0,0,0,0,87,3,1493,1493,296,1492,1493,0,41,1628,1629,1630,186,1629,248,0,0,0,0,91,105,0,0,9,0,7
Beijing,smart city,84.1,79.6,85.4,83.5,20384000,IMD Smart City Index 2020,3,82,IMD Smart City Index 2020,11/12/2020,356094,10,19,0,0,2,233,104,287,287,88,183,0,0,287,182,151,217,287,183,0,0,0,17,0,0,9,0,0,0,0,111,0,172,75,0,0,3345,3345,34053,0,0,0,4099,10,0,0,3062,3062,2,2,2,2,2,2,220,75,1158,773,763,996,76,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2,2,2,13,2,2,2,0,11,11,13,11,77,1190,2,0,96,96,183,120,120,105,154,3063,4866,286,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,10,261,2731,14,3212,0,0,1072,232,1151,337,1070,1015,15952,15955,4,11,22,11,22,4338,4498,4499,4498,4498,110,22,22,200,0,0,0,0,0,0,0,0,75,63,1934,0,0,3356,266,23,432,432,432,5818,1616,0,1182,5031,388,5031,129,0,0,0,26737,22,5089,177,3878,0,0,0,0,0,2866,15961,15964,4570,4570,1987,3959,5547,27,27,27,27,27,27,27,258,5198,2,2,1080,0,0,0,0,0,0,6,473,13,19,143,0,19,5,413,2275,2275,2275,328,150,4031,4529,0,9,13,0,0,63,0,0,689,689,1059,1074,1074,1073,4,51,5,0,1,622,14,15888,0,0,0,18,1,13,0,524,1349,825,6,6,9,0,256,256,256,0,0,0,0,51,51,5,51,5031,0,0,0,0,0,0,0,27,1,5555,5555,1176,5555,5556,5,108,5911,5910,5910,921,5909,828,0,0,0,0,29,23,0,0,440,8,5
Bengaluru,smart city,70.1,73.4,76.8,73.9,10087000,IMD Smart City Index 2020,2,95,IMD Smart City Index 2020,11/12/2020,427071,118,61,2,2,6,36,22,49,49,14,27,1,1,49,794,101,33,49,27,0,1,4,49,4,4,18,4,4,4,4,71,8,787,233,0,0,23862,23862,5973,8,0,0,1035,119,2,0,7869,7869,6,6,6,6,6,0,28,14,1335,1214,1210,1225,11,2,2,2,2,2,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,13,1,1,1,0,12,12,13,12,12,69,4,0,260,260,305,273,273,250,349,7881,11359,50,2,1,0,1,0,0,0,0,2,2,2,2,2,2,2,198,4,65,9179,7,9236,0,0,1286,14,1789,515,1284,1266,772,772,22,32,97,32,21,1126,1150,1150,1151,1152,267,21,21,314,1,1,1,1,1,1,1,1,46,6,20449,0,0,23887,57,99,14655,14654,14654,26088,20215,6,179,1205,65,1206,40,1,1,1,4481,21,1234,367,24539,1,0,0,0,0,905,773,773,1162,1162,365,1055,1644,140,140,140,140,140,140,140,46,1293,6,6,1289,1,1,1,1,1,2,34,111,26,30,49,0,2,8,871,21256,21257,21259,783,415,24969,238,0,9,109,0,0,105,1,0,201,201,314,333,333,333,13,82,1,0,13,423,4,767,1,0,0,35,0,106,0,523,1816,1293,16,16,0,0,46,46,46,0,0,0,0,72,72,16,82,1252,0,0,0,0,1,0,0,139,4,1489,1489,380,1489,1489,8,264,1773,1773,1773,239,1773,263,0,0,0,0,153,121,0,0,110,1,28
Berlin,smart city,58.8,59.2,49.2,60.9,3563000,IMD Smart City Index 2020,7,38,IMD Smart City Index 2020,11/12/2020,242358,99,35,0,0,0,48,25,52,52,21,27,0,0,52,100,109,33,51,27,0,0,0,32,0,0,7,0,0,0,0,54,0,80,45,3,3,9400,9400,4434,0,0,0,1212,106,0,0,7504,7503,0,0,0,0,0,0,31,25,994,629,628,639,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,7,7,7,13,90,1,0,62,62,93,82,82,56,2571,7510,10009,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,47,7531,11,7639,0,0,687,11,757,71,687,660,4220,4220,3,18,49,18,3,1269,1274,1274,1274,1274,62,3,3,100,0,0,0,0,0,0,0,0,8,3,5885,0,0,9427,71,48,1807,1807,1807,12006,5769,0,241,1437,50,1437,33,0,0,0,2898,3,1438,118,9746,0,0,0,0,0,2067,4225,4225,1319,1319,449,1241,1615,54,54,54,53,53,53,53,285,1476,0,0,704,0,0,0,0,0,0,82,83,2,10,87,0,95,2,181,8688,8688,8689,2775,2658,12415,135,0,2,25,0,3,37,0,0,133,133,206,219,219,219,266,29,0,0,2,310,4,4206,0,0,0,171,0,25,0,100,789,689,4,4,1,3,279,279,279,0,0,0,0,29,29,2,29,1436,3,0,0,0,0,0,0,53,3,1585,1586,259,1586,1586,4,61,1896,1895,1895,191,1895,169,0,0,0,0,59,60,0,0,26,0,2
Bilbao,smart city,63.7,73.1,60.4,64,414000,IMD Smart City Index 2020,7,24,IMD Smart City Index 2020,11/12/2020,10729,2,9,0,0,0,10,3,10,10,9,7,0,0,10,9,5,8,10,7,0,0,0,9,0,0,3,0,0,0,0,3,0,9,2,0,0,315,315,237,0,0,0,132,2,0,0,314,314,0,0,0,0,0,0,4,4,52,27,26,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65,0,0,5,5,8,7,7,5,56,314,436,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,248,2,251,0,0,27,1,31,5,27,27,4,4,0,9,9,9,3,141,143,143,143,143,7,3,3,8,0,0,0,0,0,0,0,0,0,1,200,0,0,320,3,11,63,63,63,512,187,0,24,155,9,155,0,0,0,0,144,3,156,5,336,0,0,0,0,0,147,4,4,150,150,55,141,161,11,11,11,11,11,11,11,9,157,0,0,30,0,0,0,0,0,0,0,11,1,1,3,0,2,1,9,246,246,246,44,39,376,34,0,0,3,0,0,4,0,0,5,5,8,8,8,8,7,1,0,0,0,4,0,4,0,0,0,0,0,4,0,7,35,28,1,1,0,0,9,9,9,0,0,0,0,1,1,1,1,157,0,0,0,0,0,0,0,11,1,159,159,17,159,159,0,7,170,170,170,7,170,14,0,0,0,0,13,18,0,0,0,0,0
Birmingham,smart city,51.9,64.8,56.2,70.8,2515000,IMD Smart City Index 2020,7,40,IMD Smart City Index 2020,11/12/2020,24472,4,14,2,0,0,12,4,12,12,7,8,0,0,12,9,14,12,12,8,0,0,0,14,0,0,6,0,0,0,0,4,0,8,2,0,0,779,779,646,0,0,0,255,4,0,0,479,480,0,0,0,0,0,0,4,3,210,169,168,173,7,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,0,8,59,0,0,3,3,5,4,4,2,57,484,869,12,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,9,0,14,664,2,680,0,0,187,5,211,30,186,178,4,7,1,8,15,8,0,267,267,268,268,268,3,0,0,6,0,0,0,0,0,0,0,0,1,0,401,0,0,790,5,15,111,111,111,1007,390,0,61,308,18,308,5,0,0,0,492,0,311,19,842,0,0,0,0,0,854,4,7,304,304,108,280,329,16,16,16,16,16,16,16,14,313,0,0,189,0,0,0,0,0,0,12,23,2,2,15,0,34,2,45,506,506,506,99,80,920,28,0,0,27,0,0,6,0,0,19,19,24,25,25,25,1,2,3,0,0,8,1,8,0,0,0,4,0,27,0,37,212,175,5,5,0,0,13,13,13,0,0,0,0,2,2,0,2,310,0,0,0,0,0,0,0,16,1,328,328,39,329,329,0,3,413,413,413,25,413,33,0,0,0,0,17,13,0,0,3,0,0
Bogota,smart city,69.5,76,53.7,53.8,9765000,IMD Smart City Index 2020,3,92,IMD Smart City Index 2020,11/12/2020,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Bologna,smart city,64.7,70.2,61.3,67.3,784000,IMD Smart City Index 2020,4,70,IMD Smart City Index 2020,11/12/2020,28442,0,5,0,1,0,13,4,13,13,7,9,0,0,13,16,5,12,13,9,0,0,0,5,0,0,1,0,0,0,0,6,0,15,12,0,0,819,819,489,0,0,0,438,0,0,0,630,630,0,0,0,0,0,0,17,13,264,190,183,192,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,0,0,12,12,15,14,14,13,110,635,1121,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,17,728,2,746,0,0,196,2,208,15,189,188,10,10,0,5,5,5,1,459,459,459,459,458,13,1,1,18,0,0,0,0,0,0,0,0,3,1,297,0,0,821,11,5,88,88,88,1223,293,0,60,493,13,493,0,0,0,0,283,1,495,16,865,0,0,0,0,0,520,10,10,446,446,99,422,469,5,5,5,5,5,5,5,32,497,0,0,191,0,0,0,0,0,0,0,28,0,1,11,0,1,0,28,486,486,487,175,160,1024,18,0,1,1,0,0,9,0,0,11,11,28,32,32,32,9,5,1,0,0,7,0,10,0,0,0,15,0,1,0,22,209,187,1,1,0,0,32,32,32,0,0,0,0,4,4,0,5,466,0,0,0,0,0,0,0,5,0,476,477,38,477,476,0,13,492,492,492,23,492,25,0,0,0,0,7,14,1,1,0,0,0
Boston,smart city,58.6,62.4,58.2,77.2,429000,IMD Smart City Index 2020,7,36,IMD Smart City Index 2020,11/12/2020,40064,1,7,0,0,0,7,1,7,7,6,6,0,0,7,12,0,5,6,5,0,0,0,6,0,0,2,0,0,0,0,4,1,12,5,0,0,2165,2165,535,1,0,0,313,2,0,0,763,764,0,0,0,0,0,0,0,0,124,96,96,96,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,6,6,5,22,0,0,7,7,9,7,7,6,16,770,2499,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,7,2024,0,2029,0,0,95,0,100,4,95,95,13,962,0,5,7,5,2,314,314,314,314,314,7,2,2,10,0,0,0,0,0,0,0,0,0,0,458,0,0,2205,5,7,163,163,163,2685,452,0,20,328,5,330,4,0,0,0,286,2,330,3,2232,0,0,0,0,0,171,13,963,324,324,33,318,340,7,7,7,7,7,7,7,35,331,0,0,96,0,0,0,0,0,0,2,7,0,6,7,0,4,0,9,505,505,506,38,35,2275,9,0,1,10,0,0,10,0,0,6,6,11,12,12,12,21,10,0,0,0,960,0,961,0,0,0,0,0,10,0,6,100,94,5,5,0,0,34,34,34,0,0,0,0,9,9,0,10,327,0,0,0,0,0,0,0,8,1,338,338,20,338,338,0,7,365,365,365,10,365,12,0,0,0,0,8,11,0,0,1,0,1
Bratislava,smart city,58.4,69.8,56.7,68.1,433000,IMD Smart City Index 2020,4,76,IMD Smart City Index 2020,11/12/2020,49396,53,11,3,0,0,23,5,27,27,19,22,0,0,27,56,14,23,27,22,0,0,0,8,0,0,3,0,0,0,0,56,1,55,12,0,0,1616,1616,1210,1,0,0,461,53,0,0,1819,1819,0,0,0,0,0,0,9,6,364,239,239,244,17,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,17,28,0,0,51,51,62,52,52,47,296,1823,2430,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,3,27,1328,0,1352,0,0,249,5,265,18,249,247,22,43,3,6,14,6,3,472,473,474,474,474,51,3,3,69,0,0,0,0,0,0,0,0,0,4,836,0,0,1613,9,13,277,277,277,2724,822,0,79,519,31,519,5,0,0,0,957,3,520,56,1712,0,0,0,0,0,651,22,43,494,494,151,462,549,18,18,18,18,18,18,18,38,526,0,0,254,0,0,0,0,0,0,37,37,5,4,23,0,9,1,70,1197,1197,1197,350,294,2003,62,0,3,5,0,0,14,0,0,25,25,36,37,37,37,9,12,0,0,0,21,1,22,0,0,0,17,0,7,0,28,277,249,10,10,0,0,38,38,38,0,0,0,0,12,12,1,12,521,0,0,0,0,0,0,0,17,0,548,548,56,548,548,1,50,577,577,577,28,577,40,0,0,0,0,17,16,0,0,2,0,3
Brisbane,smart city,63.1,63.5,56.6,76.6,2202000,IMD Smart City Index 2020,8,14,IMD Smart City Index 2020,11/12/2020,56294,2,43,5,0,0,56,43,58,58,16,15,0,0,58,29,37,19,58,15,0,0,0,43,0,0,5,0,0,0,0,14,0,27,11,0,0,1640,1640,1434,0,0,0,589,4,0,0,1090,1090,0,0,0,0,0,0,17,13,519,266,264,267,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,0,0,0,3,0,0,0,0,3,3,3,3,12,65,2,0,15,15,22,17,17,14,199,1085,1742,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,18,1163,3,1196,0,0,273,3,321,52,273,268,18,18,1,41,46,41,0,629,632,632,632,631,15,0,0,25,0,0,0,0,0,0,0,0,4,2,983,0,0,1636,11,45,459,459,459,2243,907,1,200,808,21,809,22,0,0,0,904,0,817,75,1856,0,0,0,0,0,1298,18,18,789,789,389,754,937,48,48,48,48,48,48,48,65,822,0,0,274,0,0,0,0,0,0,25,46,0,2,31,0,146,0,125,1327,1327,1327,298,223,2078,77,0,0,95,0,0,15,0,0,44,44,58,64,64,64,19,12,0,0,2,15,1,19,0,0,0,9,0,94,0,60,327,267,10,10,0,0,63,63,63,0,0,0,0,11,11,4,12,801,0,0,0,0,0,0,0,48,1,910,910,84,910,910,0,15,989,989,989,54,990,61,0,0,0,0,51,47,0,0,5,0,0
Brussels,"smart city,circular city",58.3,63.2,51.7,73.3,1205000,IMD Smart City Index 2020,5,60,IMD Smart City Index 2020,11/12/2020,398035,7,77,2,0,1,319,99,405,405,167,306,0,0,405,300,38,344,405,306,0,0,0,68,0,0,10,0,0,0,0,47,2,296,153,0,0,11487,11487,12484,2,0,0,1434,7,0,0,8242,8242,1,1,1,1,1,0,49,37,1034,836,826,841,138,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,12,4,4,4,0,13,13,15,13,179,47,5,0,186,186,190,196,196,176,2912,8247,10861,406,19,0,0,0,0,0,0,0,3,3,3,3,3,3,3,57,3,625,9742,0,9842,0,0,861,7,940,90,853,839,469,977,18,53,119,53,15,1645,1668,1668,1668,1669,192,15,15,205,0,0,0,0,0,0,0,0,42,2,7261,0,0,11520,57,123,1700,1700,1700,12686,7206,6,754,1785,511,1784,62,0,0,0,11509,15,1850,247,11887,0,0,0,0,0,297,472,981,1798,1798,1215,1048,2414,152,152,152,152,152,152,152,29063,2069,1,1,862,0,0,0,0,0,5,12,596,18,20,43,0,12,14,320,8725,8725,8725,1436,1189,13078,47,0,9,49,0,0,121,0,0,528,528,614,657,657,657,13,97,0,0,10,997,15,1002,0,0,0,84,0,48,0,111,958,847,6,6,0,0,28669,28670,28670,0,0,0,0,76,76,32,97,1868,0,0,0,0,0,0,0,153,0,2215,2214,1116,2214,2214,2,192,2481,2481,2481,517,2481,882,0,0,0,0,157,41,0,0,15,0,2
Bucharest,smart city,64.6,78.8,57.1,59.1,1868000,IMD Smart City Index 2020,3,87,IMD Smart City Index 2020,11/12/2020,133465,37,74,0,1,0,61,26,71,71,41,45,0,0,71,118,203,51,71,45,0,0,1,65,1,1,11,1,1,1,1,84,1,117,64,0,0,3998,3998,3076,1,0,0,1675,37,0,0,3157,3157,0,0,0,0,0,0,42,26,807,543,545,550,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,6,6,31,50,0,0,102,102,135,104,104,92,379,3153,5160,70,1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,227,2,63,3207,10,3376,0,0,581,5,651,77,581,553,147,162,2,52,93,52,4,1711,1713,1713,1713,1713,105,4,4,152,0,0,0,0,0,0,0,0,10,0,1870,0,0,4012,31,113,642,642,642,5989,1823,0,177,1810,62,1810,12,0,0,0,2110,4,1830,141,4244,0,0,0,0,0,3430,148,163,1773,1773,381,1681,2125,117,117,117,117,117,117,117,170,1859,0,0,587,0,0,0,0,0,0,66,90,5,13,41,0,4,0,205,2473,2474,2474,583,442,4690,104,0,2,515,0,0,28,0,0,91,91,140,156,156,156,34,22,0,0,1,78,0,107,0,0,0,62,0,514,0,95,670,576,39,39,0,0,168,168,168,0,0,0,0,21,21,2,22,1829,0,0,0,0,0,0,0,115,2,2097,2097,382,2096,2096,0,105,2486,2486,2486,126,2486,319,0,0,0,0,118,203,0,0,26,0,33
Budapest,smart city,48.2,67.7,60.3,69,1714000,IMD Smart City Index 2020,4,77,IMD Smart City Index 2020,11/12/2020,183169,94,53,2,0,2,131,75,147,147,36,72,0,0,147,116,34,85,147,72,0,0,2,50,2,2,8,2,2,2,2,72,2,112,53,2,2,7465,7466,2185,2,0,0,1152,94,0,0,6089,6089,2,2,2,2,2,0,43,26,1300,479,444,491,31,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,2,2,2,2,2,1,1,1,23,2,1,1,0,23,23,24,23,32,68,3,0,77,77,108,82,82,71,1479,6097,7769,145,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,63,8,92,5173,0,5778,0,0,529,47,571,96,529,500,71,299,9,35,56,35,8,1208,1210,1210,1210,1210,78,8,8,128,0,0,0,0,0,0,0,0,15,5,5040,0,0,7477,62,59,1755,1756,1756,10155,4960,1,306,1386,104,1386,9,0,0,0,1445,8,1398,139,7746,0,0,0,0,0,3088,71,299,1308,1308,693,1182,1547,69,69,69,69,69,69,69,187,1437,2,2,534,0,0,0,0,0,0,75,138,8,36,62,0,32,6,184,6607,6607,6609,1563,1422,9180,217,0,4,5,0,2,144,0,0,151,151,220,230,230,230,47,104,0,0,0,290,4,301,0,0,0,123,0,5,0,119,601,482,6,6,0,2,184,184,184,0,0,0,0,96,96,21,103,1388,2,0,0,0,0,0,0,71,1,1502,1503,268,1503,1503,0,77,1761,1761,1761,206,1761,169,0,0,0,0,74,203,0,0,17,0,9
