smart_city,population_2020,population_source,overall_rating,overall_ranking,capture_date,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010
Chengdu,9135768,World Population Review,5,58,02/08/2020,50162,6,1,0,0,0,41,24,44,44,16,20,0,0,44,44,33,21,44,20,0,0,0,0,0,0,0,0,0,0,0,19,0,44,20,0,0,551,551,7994,0,0,0,694,6,0,0,531,531,0,0,0,0,0,0,69,11,290,129,129,129,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,346,0,0,23,23,41,31,31,30,47,534,825,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,26,505,0,520,0,0,149,0,170,25,149,140,72,72,0,0,1,0,9,739,752,752,752,752,31,9,9,47,0,0,0,0,0,0,0,0,16,1,337,0,0,564,25,1,31,31,31,897,329,0,81,776,25,776,25,0,0,0,6704,9,798,30,624,0,0,0,0,0,765,72,72,721,721,218,668,864,1,1,1,1,1,1,1,55,799,0,0,147,0,0,0,0,0,0,1,44,0,0,12,0,2,0,87,418,418,418,75,44,664,1152,0,3,3,0,0,0,0,0,101,101,151,163,163,163,0,0,0,0,0,47,5,75,0,0,0,23,0,3,0,62,210,148,1,1,0,0,55,55,56,0,0,0,0,0,0,0,0,788,0,0,0,0,0,0,0,1,1,854,854,143,854,854,1,31,907,907,907,114,907,78,0,0,0,0,2,1,0,0,97,0,1
Chicago,2694240,World Population Review,6,53,02/08/2020,1367896,62,45,0,0,0,124,27,191,191,98,164,0,0,191,100,8198,188,191,164,0,0,0,40,0,0,9,0,0,0,0,36,0,98,39,1,1,15940,15940,34532,0,0,0,16404,68,2,0,13472,13473,0,0,0,0,0,0,275,21,3097,2748,2744,2757,91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,9,1,1,1,0,9,9,10,9,92,232,0,0,52,52,66,56,56,47,370,13501,20538,191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,4,221,13978,6,14406,0,0,9983,12,10307,334,9990,9972,98487,98795,8,35,61,35,4,16699,16703,16704,16706,16705,55,4,4,77,0,0,0,0,0,0,0,0,85,3,5337,0,0,16089,28,61,1622,1622,1623,22775,5281,0,2461,17053,2109,17052,38,0,0,0,25895,4,17109,568,17901,0,0,0,0,0,2323,98660,98965,17067,17069,2941,14873,17819,73,73,73,73,73,73,73,422,16319,0,0,9762,0,0,0,0,0,0,36,1661,4,10,1174,0,106,3,1092,6155,6156,6156,848,282,18110,265,0,1,261,0,1,63,0,0,1575,1575,1618,1633,1633,1633,24,42,2,0,4,51329,220,98551,0,0,0,13,0,274,0,549,10355,9808,22,22,5,1,426,426,426,0,0,0,0,38,38,4,42,16370,1,0,0,0,0,0,0,74,2,17036,17036,2385,17036,17037,1,54,20600,20600,20602,1594,20603,2333,0,0,0,0,78,65,0,0,13,3,11
Chongqing,15872179,World Population Review,6,42,02/08/2020,24476,1,0,0,0,0,15,3,15,15,8,12,0,0,15,15,8,13,15,12,0,0,0,0,0,0,0,0,0,0,0,15,0,15,5,0,0,151,151,4491,0,0,0,289,1,0,0,141,141,0,0,0,0,0,0,33,2,78,50,48,52,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,220,0,0,9,9,22,11,11,11,7,141,228,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14,119,0,139,0,0,62,4,65,11,62,55,273,273,0,0,0,0,4,316,316,316,316,316,12,4,4,23,0,0,0,0,0,0,0,0,5,3,103,0,0,154,5,0,14,14,14,265,101,0,60,330,29,330,12,0,0,0,3868,4,330,8,175,0,0,0,0,0,822,275,275,298,298,110,249,339,0,0,0,0,0,0,0,18,325,0,0,59,0,0,0,0,0,0,0,43,0,0,9,0,0,0,25,124,124,124,23,14,185,1115,0,1,0,0,0,0,0,0,57,57,72,75,75,75,2,0,0,0,0,221,0,273,0,0,0,6,0,0,0,26,77,51,0,0,1,0,19,19,19,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,354,354,77,354,354,1,12,374,373,373,62,373,66,0,0,0,0,0,0,0,0,51,1,0
Copenhagen,1346485,World Population Review,9,5,02/08/2020,30264,1,5,0,0,0,5,2,5,5,2,3,0,0,5,3,16,5,5,3,0,0,0,5,0,0,1,0,0,0,0,8,0,3,0,0,0,1020,1020,768,0,0,0,305,1,0,0,1031,1031,0,0,0,0,0,0,4,4,233,165,163,166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,0,0,1,1,3,1,1,1,124,1031,1460,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,832,1,840,0,0,170,2,174,9,169,166,61,262,1,5,8,5,0,310,311,311,312,312,1,0,0,8,0,0,0,0,0,0,0,0,14,2,510,0,0,1025,6,6,177,177,178,1652,482,0,21,321,6,321,3,0,0,0,474,0,321,13,1084,0,0,0,0,0,324,61,262,306,306,42,295,351,9,9,9,9,9,9,9,15,324,0,0,173,0,0,0,0,0,1,10,13,1,1,15,0,15,0,22,634,634,634,124,111,1190,26,0,0,9,0,0,10,0,0,18,18,25,39,39,39,6,6,0,0,0,258,0,260,0,0,0,2,0,9,0,14,182,168,4,4,0,0,15,15,15,0,0,0,0,6,6,0,6,322,0,0,0,0,0,0,0,9,0,346,346,34,346,346,0,1,383,383,383,24,383,31,0,0,0,0,10,31,0,0,3,0,0
Denver,734134,World Population Review,7,33,02/08/2020,208758,4,21,0,0,0,45,27,46,46,21,19,0,0,45,36,147,62,45,19,0,0,0,21,0,0,4,0,0,0,0,31,1,30,18,0,0,4902,4902,3801,1,0,0,2015,4,0,0,5235,5235,0,0,0,0,0,0,8,4,427,314,313,314,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,434,0,0,24,24,46,30,30,22,2887,5235,6577,46,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,148,1,26,4644,0,4746,0,0,345,1,395,44,347,334,11201,11201,2,13,24,13,2,2043,2043,2043,2042,2042,24,2,2,51,0,0,0,0,0,0,0,0,5,1,3577,0,0,4951,4,24,244,244,244,6956,3548,0,100,2071,63,2071,6,0,0,0,2536,2,2076,19,5025,0,0,0,0,0,1119,11216,11216,2058,2056,267,1983,2129,26,26,26,26,26,26,26,46,2003,0,0,358,0,0,0,0,0,0,78,68,2,4,22,0,48,0,63,3673,3673,3673,124,106,5103,71,0,1,260,0,0,18,0,0,63,63,68,74,74,74,27,11,1,0,0,3432,0,11156,0,0,0,4,0,306,0,51,412,362,10,10,0,0,45,45,45,0,0,0,0,9,9,0,11,2012,0,0,0,0,0,0,0,25,0,2072,2072,121,2073,2073,1,23,2241,2242,2242,66,2242,110,0,0,0,0,25,17,0,0,3,0,3
Dubai,2878344,World Population Review,6,45,02/08/2020,51421,1,5,0,0,0,25,14,27,27,14,13,0,0,27,41,78,16,27,13,0,0,0,4,0,0,1,0,0,0,0,7,0,38,18,0,0,1712,1712,2773,0,0,0,475,1,0,0,760,760,0,0,0,0,0,0,20,9,607,553,550,558,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,37,0,0,23,23,26,26,26,21,52,762,1969,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,19,1406,1,1420,0,0,594,8,670,79,594,563,25,25,0,3,6,3,6,504,510,510,510,510,23,6,6,27,0,0,0,0,0,0,0,0,5,0,551,0,0,1737,11,8,311,311,311,2314,526,0,68,555,17,555,9,0,0,0,1392,6,555,43,1854,0,0,0,0,0,2159,25,25,542,542,187,509,616,8,8,8,8,8,8,8,33,555,0,0,599,0,0,0,0,0,0,3,32,0,0,57,0,11,0,117,628,628,628,74,32,1882,278,0,3,2,0,0,8,0,0,39,39,52,57,57,57,7,5,1,0,0,26,0,26,0,0,0,3,0,2,0,93,687,595,23,23,1,0,33,33,33,0,0,0,0,5,5,2,5,559,0,0,0,0,0,0,0,8,0,610,611,78,611,611,4,23,711,711,711,47,711,64,0,0,0,0,9,83,0,0,5,1,8
Dublin,1228179,World Population Review,7,30,02/08/2020,2358118,52,495,26,0,2,1689,562,2128,2128,710,1566,5,5,2128,5573,973,2093,2127,1565,0,5,17,411,17,17,112,17,17,17,17,171,26,5573,2564,8,8,78649,78653,93076,27,0,0,21777,55,7,0,40408,40410,2,2,2,2,2,0,180,133,16055,14893,14873,14948,616,7,7,7,7,7,7,7,1,1,1,7,7,9,25,19,19,19,19,19,19,19,10,10,19,162,21,20,20,0,149,149,159,149,720,353,17,0,2668,2668,2708,2709,2709,2622,5930,40474,67454,2131,37,5,0,5,0,5,0,0,7,7,7,7,7,7,7,1314,27,5079,56332,38,63346,5,5,15381,73,15931,535,15382,15061,1085,1089,100,268,665,268,70,23829,24021,24024,24026,24025,2714,70,70,2765,5,5,5,5,5,5,5,5,430,59,52592,5,5,79049,923,700,20452,20451,20452,95298,50592,15,6035,26330,2617,26333,96,5,5,5,89419,70,27752,1825,85035,6,6,1,6,6,1853,1088,1092,26703,26705,10602,20697,34135,833,833,833,833,832,832,832,857,28036,2,2,15327,5,5,5,5,5,12,133,3581,149,256,2083,0,30,69,2265,58332,58334,58332,5923,4114,88601,514,0,46,85,0,8,1161,6,1,3753,3753,5773,6358,6358,6358,78,930,0,6,134,1144,168,1249,6,0,1,124,133,85,0,652,15940,15287,11,11,16,8,840,840,840,6,6,6,6,798,798,152,927,27580,8,6,6,6,6,6,6,832,34,31592,31593,10690,31599,31601,25,2705,34766,34767,34767,4379,34771,8638,1,1,1,1,903,114,4,4,111,4,26
Dusseldorf,632386,PopulationStat,8,10,02/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geneva,613373,World Population Review,9,4,02/08/2020,33192,30,12,1,0,0,7,3,12,12,10,9,0,0,12,34,7,11,12,9,0,0,0,11,0,0,1,0,0,0,0,8,0,34,15,0,0,1344,1344,1045,0,0,0,240,31,0,0,777,777,0,0,0,0,0,0,6,4,247,191,189,191,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,3,4,7,0,0,20,20,21,21,21,18,214,776,1342,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,11,1079,1,1095,0,0,194,2,201,6,194,192,13,13,0,12,14,12,2,258,259,259,259,259,21,2,2,24,0,0,0,0,0,0,0,0,5,0,691,0,0,1355,6,14,251,251,251,1626,675,0,34,273,16,273,5,0,0,0,931,2,274,35,1419,0,0,0,0,0,757,13,13,261,261,87,242,311,14,14,14,14,14,14,14,33,273,0,0,196,0,0,0,0,0,0,0,21,3,4,8,0,20,2,37,881,881,881,189,154,1570,25,0,1,20,0,0,12,0,0,14,14,20,21,21,21,10,11,0,0,2,12,1,14,0,0,0,335,0,20,0,8,202,194,1,1,0,0,33,33,33,0,0,0,0,9,9,1,10,273,0,0,0,0,0,0,0,13,1,306,305,55,305,305,0,20,322,322,322,20,323,45,0,0,0,0,14,9,0,0,1,0,0
Gothenburg,610521,World Population Review,7,28,02/08/2020,23468,8,10,0,1,0,7,4,7,7,5,3,0,0,7,4,11,5,7,3,0,0,0,9,0,0,1,0,0,0,0,12,0,4,2,1,1,718,718,405,0,0,0,263,8,0,0,602,602,0,0,0,0,0,0,7,5,119,84,84,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,3,2,26,0,0,2,2,9,2,2,2,84,603,864,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,8,513,0,531,0,0,87,0,99,11,87,85,10,10,3,3,8,3,0,285,287,288,288,288,2,0,0,14,0,0,0,0,0,0,0,0,2,1,428,0,0,709,8,10,188,188,188,1072,414,0,41,313,6,313,3,0,0,0,264,0,317,21,753,0,0,0,0,0,894,10,10,304,304,77,287,331,12,12,12,12,12,12,12,81,315,0,0,89,0,0,0,0,0,0,9,19,0,3,10,0,1,0,36,619,619,620,188,167,922,17,0,0,1,0,1,6,0,0,21,21,33,37,37,37,8,5,0,0,0,6,0,10,0,0,0,4,0,1,0,17,109,92,6,6,0,1,77,77,77,0,0,0,0,5,5,0,5,318,1,0,0,0,0,0,0,12,0,329,329,31,329,329,1,2,339,339,339,25,339,21,0,0,0,0,14,47,0,0,2,0,0
Guangzhou,13301532,World Population Review,5,57,02/08/2020,127392,13,6,0,0,0,102,50,159,159,49,109,0,0,159,55,143,133,159,109,0,0,1,5,1,1,3,1,1,1,1,83,1,52,25,0,0,1577,1577,9304,1,0,0,2673,13,0,0,1328,1328,0,0,0,0,0,0,170,56,545,347,348,357,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,684,2,0,29,29,57,38,38,32,76,1331,2319,157,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,13,143,1377,6,1505,0,0,408,9,447,49,408,378,131,133,0,5,11,5,8,2797,2815,2815,2814,2815,37,8,8,116,0,0,0,0,0,0,0,0,24,6,654,0,0,1589,78,12,154,154,154,2620,619,0,338,2923,158,2924,35,0,0,0,7273,8,2957,76,1745,0,0,0,0,0,1377,131,134,2825,2825,600,2588,3197,12,12,12,12,12,12,12,86,2926,0,0,415,0,0,0,0,0,1,3,184,0,0,47,0,0,0,187,798,798,798,154,78,1790,1908,0,4,3,0,0,5,0,0,233,233,362,391,391,391,11,3,4,0,1,126,6,138,0,0,0,14,0,3,0,138,541,403,2,2,0,0,85,85,85,0,0,0,0,3,3,0,3,2925,0,0,0,0,0,0,0,12,0,3124,3124,473,3126,3127,8,39,3284,3284,3284,309,3284,347,0,0,0,0,13,1,0,0,167,0,0
Hangzhou,7642147,World Population Review,6,44,02/08/2020,63076,3,2,0,0,0,45,18,48,48,30,30,0,0,48,52,28,32,48,30,0,0,0,2,0,0,1,0,0,0,0,18,0,51,22,0,0,448,452,9185,0,0,0,800,3,0,0,1390,1390,0,0,0,0,0,0,60,22,190,119,119,120,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,24,441,0,0,24,24,35,29,29,26,28,1390,1631,48,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,42,1,36,366,2,420,0,0,146,1,161,28,146,125,447,448,0,1,2,1,8,875,879,879,879,879,29,8,8,44,0,0,0,0,0,0,0,0,34,0,281,0,0,451,16,2,25,25,25,1732,263,0,103,921,40,920,21,0,0,0,6659,7,935,19,531,0,0,0,0,0,1262,448,449,883,883,251,811,1025,2,2,2,2,2,2,2,61,934,0,0,147,0,0,0,0,0,0,3,56,0,1,37,0,1,0,78,344,344,344,56,37,563,3820,0,4,0,0,0,1,0,0,89,89,122,122,122,122,7,1,0,0,0,287,8,445,0,0,0,2,0,0,0,78,213,135,4,4,2,0,60,60,60,0,0,0,0,1,1,0,1,923,0,0,0,0,0,0,0,1,0,1016,1016,173,1015,1015,0,28,1069,1069,1069,99,1069,127,0,0,0,0,1,1,0,0,101,0,0
Hanoi,4678198,World Population Review,4,66,02/08/2020,87157,28,4,0,0,1,66,34,72,72,40,38,1,1,72,89,26,52,72,38,0,1,0,3,0,0,2,0,0,0,0,30,1,75,44,0,0,1539,1539,2485,1,0,0,1119,28,0,0,1243,1243,1,1,1,1,1,0,60,42,696,359,357,630,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,8,1,1,1,0,7,7,8,7,28,80,0,0,49,49,73,66,66,49,100,1243,2174,72,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,54,0,55,1230,15,1251,1,1,670,277,784,369,670,650,572,573,3,2,6,2,7,1493,1496,1497,1497,1497,53,7,7,78,1,1,1,1,1,1,1,1,66,305,700,1,1,1561,319,7,304,304,304,2543,610,0,406,1525,370,1525,29,1,1,1,2041,7,1545,71,1705,1,1,0,1,1,1776,575,576,1202,1202,653,1116,1762,10,10,10,10,10,10,10,21,1607,1,1,681,1,1,1,1,1,0,17,377,1,8,17,0,8,1,166,899,900,900,196,127,1809,268,0,3,94,0,0,18,1,0,180,180,498,511,511,511,11,14,0,1,3,567,2,571,1,0,0,4,0,94,0,387,813,426,2,2,2,0,19,19,19,1,1,1,1,14,14,0,14,1530,0,1,1,1,1,1,1,10,1,1699,1699,548,1699,1699,4,52,1847,1847,1847,485,1847,145,0,0,0,0,14,310,0,0,14,1,27
Hanover,537000,MacroTrends,7,26,02/08/2020,22298,1,1,0,0,0,6,1,7,7,12,6,0,0,7,9,0,7,7,6,0,0,0,1,0,0,0,0,0,0,0,7,0,6,2,0,0,779,779,374,0,0,0,194,1,0,0,657,657,0,0,0,0,0,0,5,4,96,55,55,55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,6,6,5,12,1,0,5,5,9,8,8,3,156,661,825,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,7,579,0,591,0,0,62,0,64,3,62,60,21,23,1,1,2,1,1,202,202,202,202,202,5,1,1,9,0,0,0,0,0,0,0,0,5,0,520,0,0,791,11,1,206,206,206,1047,509,0,42,238,7,239,6,0,0,0,237,1,241,17,837,0,0,0,0,0,504,21,23,223,223,89,215,256,3,3,3,3,3,3,3,29,243,0,0,63,0,0,0,0,0,0,7,9,0,7,15,0,12,0,19,774,774,774,261,243,1071,13,0,1,0,0,0,10,0,0,7,7,20,21,21,21,43,9,0,0,0,25,3,27,0,0,0,11,0,0,0,3,69,66,2,2,0,0,28,28,28,0,0,0,0,9,9,0,9,246,0,0,0,0,0,0,0,3,0,261,261,26,261,261,0,5,283,283,283,19,283,13,0,0,0,0,3,8,0,0,1,0,0
Helsinki,1304851,World Population Review,8,8,02/08/2020,331487,471,40,2,0,5,35,23,41,41,13,18,0,0,41,651,243,28,41,18,0,0,1,37,1,1,7,1,1,1,1,58,0,649,249,4,4,14175,14175,10231,0,0,0,1610,485,0,0,6346,6347,5,5,5,5,5,0,43,29,1936,1731,1725,1743,10,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,9,0,0,0,0,10,10,10,10,11,29,3,0,273,273,301,279,279,265,2158,6355,10620,42,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,88,1,73,8707,3,8799,0,0,1782,17,1972,206,1782,1760,756,757,19,25,56,25,8,1718,1744,1744,1744,1744,278,8,8,309,0,0,0,0,0,0,0,0,80,1,9397,0,0,14216,85,57,5398,5398,5398,16179,9275,0,263,1871,59,1871,40,0,0,0,9418,8,1902,605,15022,0,0,0,0,0,928,756,757,1795,1796,511,1627,2467,79,79,79,79,78,78,78,244,1980,5,5,1776,0,0,0,0,0,2,62,114,9,24,64,0,1,3,826,13041,13044,13044,3679,3079,18015,58,0,6,176,0,4,94,1,1,357,357,497,552,552,552,83,68,0,1,5,618,27,776,1,0,1,265,0,178,1,275,2038,1763,9,9,0,4,241,241,241,1,1,1,1,63,63,8,68,1925,4,1,1,1,1,1,1,79,10,2213,2213,516,2213,2213,8,277,2790,2790,2790,415,2790,368,1,1,1,1,101,321,1,1,20,0,14
