smart_city,population_2020,population_source,% of respondents who are willing to conceded personal data in order to improve traffic congestion,% of respondents who are comfortable with face recognition technologies to lower crime,% of respondents who feel the availability of online information has increased their trust in authorities,% of day-to-day payment transactions that re non-cash,overall_rating,overall_ranking,smartcity_source,capture_date,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010
Seoul,9774000,IMD Smart City Index 2020,52.9,74.0,52.1,72.5,6,47,IMD Smart City Index 2020,11/12/2020,0,27,43,8,0,0,133,56,209,209,73,153,0,0,209,299,179,180,209,153,0,0,0,42,0,0,15,0,0,0,0,534,1,236,99,0,0,6635,6635,17093,1,0,0,4361,30,1,0,4971,4971,0,0,0,0,0,0,67,34,2254,1270,1251,1286,64,0,0,0,0,0,0,0,6,6,6,0,0,0,3,2,2,2,2,2,2,2,0,0,0,3,0,0,0,0,3,3,3,3,64,380,5,0,120,120,221,191,191,110,527,4984,8866,210,45,0,0,0,0,0,0,0,1,1,1,1,1,1,1,876,10,209,5519,22,5664,0,0,1318,27,1464,170,1312,1285,178,180,12,35,63,35,17,4466,4486,4486,4486,4489,129,17,17,640,0,0,0,0,0,0,0,0,20,7,2727,0,0,6676,34,66,1026,1026,1026,10125,2565,2,413,4647,220,4649,73,0,0,0,13717,17,4666,274,7158,0,0,0,0,0,13481,178,180,4410,4410,966,4134,4894,81,81,81,81,81,81,81,922,4757,0,0,1331,0,0,0,0,0,1,22,251,0,5,62,0,7,0,417,3373,3373,3373,623,348,7505,1219,0,13,40,0,0,16,0,0,313,313,371,401,401,401,56,13,3,0,7,142,4,181,0,0,0,35,0,38,0,204,1467,1263,8,8,1,0,900,900,900,0,0,0,0,12,12,0,12,4689,0,0,0,0,0,0,0,81,6,4992,4992,606,4993,4993,3,126,5236,5235,5237,309,5240,489,0,0,0,0,88,110,0,0,187,2,7
Seattle,3249000,IMD Smart City Index 2020,57.5,61.3,46.7,81.6,7,37,IMD Smart City Index 2020,11/12/2020,0,39,37,0,0,0,238,19,258,258,217,240,0,0,259,83,60,248,259,240,0,0,1,36,1,1,11,1,1,1,1,29,0,83,27,0,0,6752,6752,8909,0,0,0,1439,42,0,0,2308,2309,0,0,0,0,0,0,16,8,1106,869,869,874,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,222,322,3,0,39,39,54,40,40,37,276,2318,7338,261,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,7,266,5997,0,6126,0,0,889,6,936,50,890,879,12830,14963,9,22,51,22,4,1509,1517,1518,1517,1517,40,4,4,58,0,0,0,0,0,0,0,0,19,1,1707,0,0,6768,50,52,710,710,710,8197,1660,0,415,1607,276,1607,16,0,0,0,6940,4,1615,130,6986,0,0,0,0,0,853,12844,14975,1543,1543,572,1230,1741,61,61,61,61,61,62,62,117,1643,0,0,894,0,0,0,0,0,0,57,321,5,5,26,0,37,2,178,4052,4052,4052,2328,2197,9195,140,0,2,262,0,0,31,0,0,132,132,195,209,209,209,67,27,0,0,0,6085,3,14909,0,0,0,9,0,246,0,54,938,884,1,1,0,0,115,115,115,0,0,0,0,26,26,5,26,1617,0,0,0,0,0,0,0,62,2,1701,1701,439,1699,1699,9,40,1958,1958,1958,170,1958,364,0,0,0,0,66,30,2,2,14,0,18
Berlin,3563000,IMD Smart City Index 2020,58.8,59.2,49.2,60.9,7,38,IMD Smart City Index 2020,11/12/2020,0,99,35,0,0,0,48,25,52,52,21,27,0,0,52,100,109,33,51,27,0,0,0,32,0,0,7,0,0,0,0,54,0,80,45,3,3,9400,9400,4434,0,0,0,1212,106,0,0,7504,7503,0,0,0,0,0,0,31,25,994,629,628,639,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,7,7,7,13,90,1,0,62,62,93,82,82,56,2571,7510,10009,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,47,7531,11,7639,0,0,687,11,757,71,687,660,4220,4220,3,18,49,18,3,1269,1274,1274,1274,1274,62,3,3,100,0,0,0,0,0,0,0,0,8,3,5885,0,0,9427,71,48,1807,1807,1807,12006,5769,0,241,1437,50,1437,33,0,0,0,2898,3,1438,118,9746,0,0,0,0,0,2067,4225,4225,1319,1319,449,1241,1615,54,54,54,53,53,53,53,285,1476,0,0,704,0,0,0,0,0,0,82,83,2,10,87,0,95,2,181,8688,8688,8689,2775,2658,12415,135,0,2,25,0,3,37,0,0,133,133,206,219,219,219,266,29,0,0,2,310,4,4206,0,0,0,171,0,25,0,100,789,689,4,4,1,3,279,279,279,0,0,0,0,29,29,2,29,1436,3,0,0,0,0,0,0,53,3,1585,1586,259,1586,1586,4,61,1896,1895,1895,191,1895,169,0,0,0,0,59,60,0,0,26,0,2
Bangkok,9270000,IMD Smart City Index 2020,77.0,75.3,77.9,63.3,4,71,IMD Smart City Index 2020,11/12/2020,0,53,29,2,0,2,244,201,260,260,24,59,1,1,260,152,53,107,260,59,1,1,1,26,1,1,7,1,1,1,1,54,1,133,69,1,1,3882,3882,4846,1,1,1,4933,57,2,0,3331,3331,2,2,2,2,2,0,277,119,1413,916,913,937,12,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,2,2,2,2,2,1,1,1,7,2,2,2,0,6,6,7,6,12,407,1,0,80,80,117,101,101,74,389,3339,6186,262,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1683,1,71,3211,41,3359,0,1,1012,24,1237,253,1010,963,426,429,5,21,36,21,5,5081,5102,5102,5102,5102,83,5,5,129,1,1,1,1,1,1,1,1,20,4,2048,1,1,3895,75,38,570,570,570,6973,1931,2,386,5304,148,5306,10,1,1,1,2973,5,5330,223,4317,1,1,1,1,1,6707,428,431,5184,5184,1045,4984,5732,45,45,45,45,45,45,45,62,5390,2,2,1035,1,1,1,1,1,0,139,196,2,6,104,1,6,2,441,2574,2573,2573,496,273,4599,820,0,3,134,0,1,19,1,1,345,345,436,461,461,461,13,14,4,1,0,371,4,431,1,0,1,142,2,138,0,310,1343,1033,82,82,4,1,59,59,60,1,1,1,1,13,13,1,14,5281,1,1,1,1,1,1,1,45,5,5603,5602,497,5602,5604,11,80,5996,5997,5997,398,5998,378,1,1,0,1,54,124,1,1,62,4,16
Munich,1438000,IMD Smart City Index 2020,66.4,65.5,60.5,63.9,8,11,IMD Smart City Index 2020,11/13/2020,0,155,38,4,0,0,64,22,70,70,38,48,0,0,70,210,67,58,70,48,0,0,2,31,2,2,14,2,2,2,2,56,2,192,106,0,0,9415,9415,4108,2,0,0,1026,165,0,0,6859,6859,0,0,0,0,0,0,62,43,1147,835,832,855,32,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3,3,3,3,3,3,0,0,0,2,0,0,0,0,3,3,3,3,34,66,2,0,125,125,149,147,147,115,1880,6860,9586,70,2,0,0,0,0,0,0,0,3,3,3,3,3,3,3,101,0,81,7051,10,7136,0,0,905,19,986,102,901,859,75,77,7,22,47,22,10,1096,1105,1105,1105,1105,129,10,10,165,0,0,0,0,0,0,0,0,15,0,5982,0,0,9421,121,56,2268,2268,2268,12001,5850,0,298,1288,76,1288,21,0,0,0,3244,10,1302,204,9832,0,0,0,0,0,879,75,77,1162,1162,503,1051,1571,63,63,63,63,63,63,63,193,1344,0,0,912,0,0,0,0,0,1,98,124,0,6,87,0,59,0,284,8270,8270,8270,2270,2066,11903,106,0,7,153,0,0,33,0,0,162,162,300,326,326,326,86,26,1,0,1,73,8,85,0,0,0,207,0,153,0,122,1013,891,1,1,0,0,193,193,193,0,0,0,0,25,25,0,26,1328,0,0,0,0,0,0,0,63,1,1503,1503,359,1503,1503,10,129,1758,1758,1758,285,1758,195,0,0,0,0,66,27,0,0,40,0,9
Warsaw,1722000,IMD Smart City Index 2020,46.9,62.1,54.7,80.9,5,55,IMD Smart City Index 2020,11/12/2020,0,238,96,5,0,0,51,27,60,60,30,33,1,1,60,222,92,54,60,33,0,1,1,89,1,1,19,1,1,1,1,90,2,221,138,1,1,7343,7343,6322,2,0,0,1320,241,0,0,5639,5639,0,0,0,0,0,0,23,17,1174,786,787,797,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,5,5,5,5,0,0,0,12,0,0,0,0,12,12,12,12,13,62,2,0,163,163,206,167,167,158,1669,5645,8458,60,0,1,0,1,0,0,0,0,6,6,6,6,6,6,6,214,1,79,6087,3,6169,0,0,813,11,895,96,813,801,1487,2336,12,62,110,62,8,1397,1404,1406,1406,1406,166,8,8,228,1,1,1,1,1,1,1,1,36,1,3829,0,0,7355,103,114,1210,1210,1210,9774,3781,0,328,1643,71,1643,23,1,1,1,4445,8,1656,211,7647,1,0,0,0,0,1809,1503,2352,1466,1466,590,1333,1860,127,127,127,127,127,127,127,109,1713,0,0,815,1,1,1,1,1,1,130,100,6,15,34,0,21,5,294,5192,5192,5193,1353,1141,8795,162,0,8,65,0,1,38,1,0,176,176,296,311,311,311,48,28,0,0,9,2330,7,2352,1,0,0,161,0,105,0,120,913,793,15,15,0,1,109,109,109,0,0,0,0,28,28,5,28,1663,1,0,0,0,1,0,0,125,2,1862,1862,398,1862,1862,0,167,2360,2359,2359,275,2359,244,0,0,0,0,132,40,1,1,22,0,8
Denver,2599000,IMD Smart City Index 2020,58.5,59.3,47.7,77.7,7,35,IMD Smart City Index 2020,11/12/2020,0,6,28,0,0,0,41,20,42,42,22,22,0,0,42,31,25,48,42,22,0,0,0,27,0,0,4,0,0,0,0,34,1,26,17,0,0,5158,5158,3538,1,0,0,1548,6,0,0,4883,4883,0,0,0,0,0,0,8,5,478,382,381,382,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,18,415,0,0,20,20,45,25,25,18,2915,4893,6362,41,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,49,0,27,4832,1,4909,0,0,391,1,432,37,391,382,11539,11608,2,19,31,19,2,1575,1575,1575,1575,1575,20,2,2,52,0,0,0,0,0,0,0,0,4,3,3683,0,0,5163,9,31,299,299,299,6755,3646,0,84,1602,53,1602,8,0,0,0,2369,2,1607,25,5237,0,0,0,0,0,1119,11557,11626,1590,1590,221,1530,1669,33,33,33,33,33,33,33,51,1616,0,0,395,0,0,0,0,0,0,73,65,2,5,23,0,41,0,66,3825,3825,3825,134,109,5355,62,0,1,248,0,0,18,0,0,54,54,63,66,66,66,32,14,0,0,0,3836,0,11561,0,0,0,5,0,289,0,42,433,391,7,7,0,0,48,48,48,0,0,0,0,11,11,0,13,1580,0,0,0,0,0,0,0,33,0,1645,1645,113,1644,1644,1,20,1814,1814,1814,59,1814,91,0,0,0,0,34,23,0,0,4,0,1
Zurich,1246000,IMD Smart City Index 2020,66.4,59.8,65.2,72.8,9,4,IMD Smart City Index 2020,11/12/2020,0,25,18,1,0,0,42,28,54,54,17,26,0,0,54,78,166,30,54,26,0,0,0,17,0,0,9,0,0,0,0,17,0,74,28,2,2,6250,6249,5843,0,0,0,896,25,0,0,3984,3986,0,0,0,0,0,0,17,13,1212,1073,1071,1077,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,6,0,0,0,0,6,6,6,6,11,64,0,0,33,33,42,37,37,31,909,3995,6961,53,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,3,30,5010,0,5054,0,0,1102,5,1183,83,1102,1084,7996,8488,0,16,20,16,3,924,925,926,926,926,33,3,3,47,0,0,0,0,0,0,0,0,64,1,3044,0,0,6265,25,20,1179,1179,1179,8235,2985,4,339,1224,33,1224,17,0,0,0,4474,3,1226,108,6502,0,0,0,0,0,713,8003,8496,1172,1172,538,890,1374,24,24,24,24,24,24,24,1469,1250,0,0,1113,0,0,0,0,0,1,26,43,0,8,71,0,48,0,180,3983,3984,3983,940,832,7328,41,0,1,28,0,2,32,0,0,309,309,340,362,362,362,82,20,0,0,6,776,34,8501,0,0,0,36,26,28,0,90,1166,1076,3,3,0,2,1442,1442,1442,0,0,0,0,18,18,2,20,1216,2,0,0,0,0,0,0,24,1,1342,1343,398,1343,1343,1,33,1489,1490,1490,326,1490,354,0,0,0,0,25,45,0,0,8,0,8
Madrid,6199000,IMD Smart City Index 2020,62.7,72.5,59.4,65.7,6,45,IMD Smart City Index 2020,11/12/2020,0,34,38,1,0,0,66,31,72,72,40,41,0,0,72,69,50,56,72,41,0,0,1,32,1,1,4,1,1,1,1,40,1,66,35,0,0,6237,6237,5671,1,0,0,1853,34,0,0,4959,4959,0,0,0,0,0,0,69,51,1190,838,834,869,31,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,15,3,1,1,0,14,15,16,15,32,396,0,0,46,46,72,50,50,39,930,4963,7388,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1,63,5105,11,5183,0,0,913,35,1011,119,913,882,1365,1857,16,27,59,27,7,1982,1996,1996,1998,1998,47,7,7,79,0,0,0,0,0,0,0,0,42,7,3362,0,0,6243,43,57,1066,1066,1066,8555,3236,2,288,2143,86,2143,13,0,0,0,3362,7,2148,167,6620,0,0,0,0,0,2833,1367,1862,2038,2038,600,1891,2368,82,82,82,82,82,82,82,81,2182,0,0,934,0,0,0,0,0,0,18,153,16,20,98,0,20,12,248,4549,4549,4549,1165,999,7619,444,0,3,40,0,0,77,0,0,184,184,232,269,269,269,107,59,4,0,1,1817,20,1872,0,0,0,77,0,39,0,148,1040,892,7,7,2,0,80,80,80,0,0,0,0,58,58,6,58,2099,0,0,0,0,0,0,0,82,3,2310,2310,327,2310,2311,4,48,2537,2537,2537,205,2537,257,0,0,0,0,88,240,0,0,4,0,16
Budapest,1714000,IMD Smart City Index 2020,48.2,67.7,60.3,69.0,4,77,IMD Smart City Index 2020,11/12/2020,0,94,53,2,0,2,131,75,147,147,36,72,0,0,147,116,34,85,147,72,0,0,2,50,2,2,8,2,2,2,2,72,2,112,53,2,2,7465,7466,2185,2,0,0,1152,94,0,0,6089,6089,2,2,2,2,2,0,43,26,1300,479,444,491,31,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,2,2,2,2,2,1,1,1,23,2,1,1,0,23,23,24,23,32,68,3,0,77,77,108,82,82,71,1479,6097,7769,145,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,63,8,92,5173,0,5778,0,0,529,47,571,96,529,500,71,299,9,35,56,35,8,1208,1210,1210,1210,1210,78,8,8,128,0,0,0,0,0,0,0,0,15,5,5040,0,0,7477,62,59,1755,1756,1756,10155,4960,1,306,1386,104,1386,9,0,0,0,1445,8,1398,139,7746,0,0,0,0,0,3088,71,299,1308,1308,693,1182,1547,69,69,69,69,69,69,69,187,1437,2,2,534,0,0,0,0,0,0,75,138,8,36,62,0,32,6,184,6607,6607,6609,1563,1422,9180,217,0,4,5,0,2,144,0,0,151,151,220,230,230,230,47,104,0,0,0,290,4,301,0,0,0,123,0,5,0,119,601,482,6,6,0,2,184,184,184,0,0,0,0,96,96,21,103,1388,2,0,0,0,0,0,0,71,1,1502,1503,268,1503,1503,0,77,1761,1761,1761,206,1761,169,0,0,0,0,74,203,0,0,17,0,9
Santiago,6507000,IMD Smart City Index 2020,64.5,72.7,48.6,61.7,3,91,IMD Smart City Index 2020,11/12/2020,0,38,34,4,0,6,67,41,68,68,30,27,0,0,68,159,156,36,68,27,0,0,2,27,2,2,8,2,2,2,2,92,2,149,88,0,0,4162,4163,3152,2,0,0,2237,39,1,0,4295,4297,6,6,6,6,6,0,100,54,1058,824,820,832,18,2,2,2,2,2,2,2,0,0,0,0,0,1,0,2,2,2,2,2,2,2,1,1,1,6,1,1,1,0,5,5,6,5,22,220,0,0,97,97,150,118,118,101,344,4303,6464,68,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,332,0,59,3665,12,3717,0,0,880,11,1024,140,877,849,2844,2848,9,18,48,18,18,2326,2330,2330,2330,2332,111,19,19,188,0,0,0,0,0,0,0,0,12,0,1833,0,0,4175,76,43,454,454,454,7001,1707,0,218,2449,67,2447,11,0,0,0,1864,19,2454,145,4480,0,0,0,0,0,2530,2849,2853,2347,2347,608,2244,2625,57,57,57,57,57,57,57,36,2484,6,6,895,0,0,0,0,0,0,64,96,1,6,55,0,16,1,282,2341,2342,2342,477,331,4821,532,0,14,185,0,0,21,0,0,113,113,198,207,207,207,9,16,0,0,0,2777,2,2800,0,0,0,17,0,186,0,177,1059,883,22,22,1,0,36,36,36,0,0,0,0,15,15,0,15,2431,0,0,0,0,0,0,0,58,2,2562,2562,266,2562,2562,1,111,2759,2758,2758,178,2758,161,0,0,0,0,63,137,0,0,9,2,26
Hamburg,1831000,IMD Smart City Index 2020,53.7,57.0,48.8,58.9,8,22,IMD Smart City Index 2020,11/13/2020,0,30,22,0,0,0,78,37,80,80,40,43,0,0,80,66,66,61,80,43,0,0,0,18,0,0,2,0,0,0,0,31,0,62,38,0,0,5659,5659,1570,0,0,0,1361,31,0,0,6257,6257,0,0,0,0,0,0,29,18,613,272,274,287,35,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,0,1,1,2,1,37,73,0,0,45,45,67,49,49,44,1547,6256,7347,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,63,4213,8,4288,0,0,316,12,349,47,315,291,744,749,2,14,30,14,0,1410,1412,1412,1412,1412,45,0,0,69,0,0,0,0,0,0,0,0,5,0,4163,0,0,5657,51,31,1406,1406,1407,8851,4015,0,267,1590,74,1590,22,0,0,0,1119,0,1597,92,6007,0,0,0,0,0,1309,744,749,1489,1489,437,1398,1697,34,34,34,34,34,34,34,137,1617,0,0,320,0,0,0,0,0,0,71,103,2,1,126,0,71,2,121,6113,6114,6114,1932,1840,7851,71,0,0,8,0,0,11,0,0,87,87,149,157,157,157,145,7,0,0,0,736,4,753,0,0,0,144,0,10,0,63,375,312,2,2,0,0,137,137,137,0,0,0,0,7,7,0,7,1614,0,0,0,0,0,0,0,35,1,1725,1725,214,1725,1725,3,45,1806,1806,1806,132,1806,142,0,0,0,0,36,30,0,0,6,0,1
Prague,1314000,IMD Smart City Index 2020,56.4,64.2,56.4,70.4,6,44,IMD Smart City Index 2020,11/12/2020,0,60,45,1,0,1,60,21,64,64,48,43,0,0,64,85,33,53,64,43,0,0,1,40,1,1,7,1,1,1,1,78,3,80,37,6,6,5887,5888,3287,3,0,0,1188,60,0,0,5601,5601,1,1,1,1,1,0,48,35,1337,762,758,773,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,12,0,0,0,0,14,14,14,14,27,132,0,0,50,50,89,59,59,47,1476,5598,7810,63,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,141,0,65,5158,1,5231,0,0,797,13,857,76,795,770,152,156,3,33,49,33,7,1274,1281,1281,1282,1282,54,7,7,118,0,0,0,0,0,0,0,0,14,9,2943,0,0,5887,39,53,643,643,643,8540,2847,2,172,1351,75,1352,41,0,0,0,2411,7,1368,200,6256,0,0,0,0,0,2094,152,156,1263,1263,392,1156,1599,59,59,59,59,59,59,59,228,1538,1,1,807,0,0,0,0,0,0,36,100,0,23,65,0,28,0,247,4675,4673,4672,1709,1509,7765,142,0,5,18,0,6,66,0,0,250,250,290,307,307,307,55,41,0,0,6,113,6,127,0,0,0,72,0,17,0,95,879,784,16,16,3,6,217,217,217,0,0,0,0,38,38,1,41,1372,6,0,0,0,0,0,0,59,1,1605,1605,362,1604,1604,1,54,1735,1735,1735,283,1734,152,0,0,0,0,60,68,0,0,13,0,7
Vienna,1753000,IMD Smart City Index 2020,58.9,55.6,56.0,60.9,7,25,IMD Smart City Index 2020,11/12/2020,0,42,24,2,3,0,82,34,88,88,47,54,0,0,88,58,35,62,88,54,0,0,1,24,1,1,5,1,1,1,1,29,1,53,40,0,0,5881,5881,2582,1,0,0,1301,41,1,0,4910,4911,0,0,0,0,0,0,27,17,730,516,517,520,40,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,2,2,2,2,2,1,1,1,3,1,1,1,0,2,2,3,2,44,125,0,0,43,43,53,48,48,42,1311,4918,6550,89,4,0,0,0,0,0,0,0,1,1,1,1,1,1,1,252,0,81,4425,4,4472,0,0,550,1,674,132,550,525,275,499,10,17,35,17,1,1349,1351,1351,1351,1351,44,1,1,67,0,0,0,0,0,0,0,0,16,0,3795,0,0,5887,53,37,1385,1385,1385,8033,3672,0,309,1563,73,1562,18,0,0,0,1540,1,1585,164,6246,0,0,0,0,0,1082,276,501,1446,1446,588,1332,1686,47,47,47,47,47,47,47,104,1612,0,0,553,0,0,0,0,0,1,52,116,1,4,82,0,72,1,282,5553,5553,5553,1752,1588,7835,134,0,1,4,0,0,29,0,0,103,103,171,190,190,190,119,20,0,0,0,490,27,523,0,0,0,79,22,4,0,141,690,549,27,27,0,0,103,103,103,0,0,0,0,17,17,2,20,1600,0,0,0,0,0,0,0,48,1,1727,1728,240,1728,1728,4,44,1826,1826,1827,155,1827,146,0,0,0,0,51,61,1,1,11,2,5
