,country,income_group,population_2020,overall_performance,factor_knowledge,factor_technology,factor_future_readiness,subfact_know_talent,subfact_know_training_education,subfact_know_scientific_concentration,subfact_tech_regulatory_framework,subfact_tech_capital,subfact_tech_technological_framework,subfact_fr_adaptive_attitudes,subfact_fr_business_agility,subfact_fr_it_integration,gini_value,totalcount,avg,vulnper1k,exposureperperson
58,Denmark,High,5792000.0,3.0,6.0,9.0,1.0,4.0,9.0,15.0,4.0,23.0,6.0,2.0,5.0,1.0,28.2,144578,8.046172680679762,24.96167127071823,0.20084730662983416
59,Djibouti,Lower middle,988000.0,,,,,,,,,,,,,,41.6,12273,7.294713261648746,12.422064777327936,0.09063755060728745
60,Dominica,Upper middle,72000.0,,,,,,,,,,,,,,,16515,7.535357142857142,229.375,1.7289458333333332
61,Dominican Republic,Upper middle,10848000.0,,,,,,,,,,,,,,45.7,78356,7.456064511189935,7.223082595870206,0.05386814159292035
62,Ecuador,Upper middle,17643000.0,,,,,,,,,,,,,,44.7,183235,7.63956649622649,10.385705378903815,0.07934921498611351
63,Egypt,Lower middle,102334000.0,,,,,,,,,,,,,,31.8,61070,7.588014533789422,0.5967713565383939,0.004530460062149431
64,El Salvador,Lower middle,6486000.0,,,,,,,,,,,,,,38.0,13869,7.720664791982118,2.1382978723404253,0.016509081097748998
65,Equatorial Guinea,Upper middle,1403000.0,,,,,,,,,,,,,,,435,7.880459770114942,0.31004989308624376,0.002443335709194583
66,Eritrea,Low,3546000.0,,,,,,,,,,,,,,,744105,7.296002542334165,209.84348561759728,1.5312099548787368
67,Estonia,High,1327000.0,21.0,23.0,23.0,20.0,31.0,3.0,47.0,30.0,29.0,17.0,18.0,26.0,22.0,32.7,140740,7.764352904399225,106.05877920120572,0.8235480030143179
68,Eswatini,Lower middle,1160000.0,,,,,,,,,,,,,,51.5,297701,6.772177890621849,256.6387931034483,1.7383246551724132
69,Ethiopia,Low,114964000.0,10.0,15.0,10.0,9.0,11.0,20.0,12.0,13.0,6.0,10.0,10.0,22.0,2.0,35.0,6448,7.597363523573204,0.05608712292543753,0.00042611426185588545
