city,city_type,% of respondents who are willing to conceded personal data in order to improve traffic congestion,% of respondents who are comfortable with face recognition technologies to lower crime,% of respondents who feel the availability of online information has increased their trust in authorities,% of day-to-day payment transactions that re non-cash,population_2020,overall_rating,overall_ranking,country,countrycode,cities_in_motion,economy,human_capital,social_cohesion,environment,goverance,urban_planning,international_outreach,technology,mobility_and_transportation,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010,,,
Lisbon,"smart city,city in motion",62,72.4,66,63.9,2884000,4,75,Portugal,PT,52,96,74,61,11,78,111,26,71,37,60209,5,21,0,0,0,19,14,22,22,15,8,0,0,22,23,37,8,22,8,0,0,0,16,0,0,5,0,0,0,0,16,1,22,13,2,2,1755,1755,1527,1,0,0,685,7,0,0,1403,1404,0,0,0,0,0,0,54,44,475,294,294,297,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,7,1,1,1,0,6,6,7,6,5,148,0,0,20,20,24,22,22,21,235,1406,2194,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,29,1417,3,1429,0,0,312,3,329,24,312,298,40,40,1,13,22,13,5,725,732,732,732,733,22,5,5,33,0,0,0,0,0,0,0,0,12,0,956,0,0,1767,37,24,328,328,328,2558,890,0,125,823,16,820,0,0,0,0,1002,5,826,74,1926,0,0,0,0,0,1160,40,40,777,777,256,735,940,26,26,26,26,26,26,26,91,844,0,0,308,0,0,0,0,0,0,33,37,3,8,77,0,21,2,100,1316,1316,1316,351,277,2207,102,0,4,101,0,2,21,0,0,58,58,105,116,116,115,23,17,0,0,1,34,1,41,0,0,0,37,0,101,0,51,355,304,5,5,0,2,92,93,93,0,0,0,0,17,17,1,17,845,2,0,0,0,0,0,0,24,1,941,941,152,942,942,9,22,1062,1063,1063,92,1067,96,0,0,0,0,25,134,0,0,8,0,46,,,
Liverpool,city in motion,N/A,N/A,N/A,N/A,901000,N/A,N/A,United Kingdom,GB,94,117,78,5,113,84,97,119,51,110,7422,0,0,0,0,0,4,1,4,4,3,3,0,0,4,3,6,3,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,258,258,157,0,0,0,69,0,0,0,157,157,0,0,0,0,0,0,2,1,69,47,47,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,0,0,1,1,2,1,1,1,16,158,273,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,188,2,190,0,0,50,2,52,5,50,49,2,2,0,0,0,0,1,72,73,73,73,73,1,1,1,2,0,0,0,0,0,0,0,0,0,1,155,0,0,259,3,0,69,69,69,346,138,0,22,87,4,86,2,0,0,0,117,1,88,3,277,0,0,0,0,0,248,2,2,80,80,41,75,89,0,0,0,0,0,0,0,7,89,0,0,49,0,0,0,0,0,0,15,5,0,0,0,0,15,0,5,196,196,196,42,39,316,8,0,1,7,0,0,0,0,0,4,4,7,7,7,7,5,0,0,0,0,2,0,2,0,0,0,4,0,7,0,4,50,46,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,92,92,10,92,92,0,1,95,95,95,7,95,5,0,0,0,0,0,10,0,0,0,0,0,,,
ljubljana,"circular city,city in motion",N/A,N/A,N/A,N/A,280000,N/A,N/A,Slovenia,SI,99,138,101,40,50,91,115,125,73,92,28098,1,15,0,0,0,17,10,18,18,7,8,0,0,18,12,4,10,18,8,0,0,2,13,2,2,5,2,2,2,2,55,2,11,3,0,0,1021,1020,257,2,0,0,253,1,0,0,770,770,0,0,0,0,0,0,17,10,203,129,127,129,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,3,3,3,6,70,0,0,8,8,57,8,8,4,122,772,1186,19,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,23,0,16,801,0,810,0,0,144,2,150,12,144,130,14,14,0,10,18,10,2,265,266,266,266,266,9,2,2,60,0,0,0,0,0,0,0,0,11,0,546,0,0,1025,0,21,213,213,213,1417,518,1,61,303,13,302,2,0,0,0,163,2,304,84,1145,0,0,0,0,0,424,14,14,294,294,111,271,330,22,22,22,22,22,22,22,14,309,0,0,143,0,0,0,0,0,0,24,22,1,5,11,0,10,1,91,810,810,810,263,179,1324,29,0,1,2,0,0,15,0,0,24,24,27,27,27,27,6,5,0,0,0,13,0,14,0,0,0,8,0,2,0,20,155,135,0,0,0,0,14,14,14,0,0,0,0,5,5,0,5,305,0,0,0,0,0,0,0,22,0,329,329,39,329,329,0,9,359,359,359,25,359,31,0,0,0,0,24,4,0,0,4,0,0,,,
London,"smart city,circular city,city in motion",59.8,68.2,60.3,75.8,10313000,8,15,United Kingdom,GB,1,14,1,64,35,2,2,1,6,3,2988805,1038,513,30,0,0,501,190,830,830,135,640,0,0,831,1088,256,1009,831,641,0,0,16,416,16,16,122,16,16,16,16,350,28,1069,439,11,11,111633,111638,84940,28,0,0,24029,1046,11,0,41818,41818,0,0,0,0,0,0,112,83,15047,14229,14210,14264,102,2,2,2,2,2,2,2,3,3,3,9,9,7,10,25,25,25,25,25,25,26,9,9,13,105,15,15,15,0,103,103,112,103,162,336,15,0,664,664,795,702,702,550,6705,41852,79748,831,28,0,0,0,0,0,0,0,12,12,12,12,12,12,12,1162,8,3482,71923,24,73132,0,0,14418,50,15159,800,14416,14366,50263,53808,139,296,733,296,77,26012,26090,26092,26098,26099,696,77,77,827,0,0,0,0,0,0,0,0,2175,15,70416,0,0,111926,279,780,39386,39386,39386,120459,69276,23,3390,26953,1293,26756,440,0,0,0,73699,77,27994,2324,115570,0,0,0,0,0,1678,49249,52697,27714,27717,5998,23759,33549,964,964,963,963,962,962,962,6311,28541,0,0,14278,0,0,0,0,0,9,533,2521,81,158,508,0,115,56,3097,79084,79086,79090,8630,6299,121991,485,0,31,950,0,11,547,0,0,2570,2571,4268,4612,4612,4613,216,395,0,0,71,33348,430,53308,0,0,0,445,62,953,0,912,15166,14255,3,3,0,11,6339,6339,6339,0,0,0,0,333,333,77,379,28538,11,0,0,0,0,0,0,967,28,31991,31995,7573,32006,32013,29,694,36909,36912,36918,2661,36930,6254,0,0,0,0,1055,224,1,1,230,2,161,,,
Los Angeles,"smart city,city in motion",58.4,67.2,58.4,74.6,12310000,7,26,United States of America,US,16,2,2,96,154,9,19,33,15,125,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,5,5,2,2,1,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,1,3,3,0,0,3,3,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,,,
Lyon,"smart city,city in motion",53.4,61.8,50.8,71.1,1609000,6,51,France,FR,36,61,26,32,62,33,47,54,66,26,29741,0,0,0,0,0,6,4,6,6,5,2,0,0,6,6,8,3,6,2,0,0,0,0,0,0,0,0,0,0,0,9,0,5,3,0,0,1082,1081,500,0,0,0,236,0,0,0,797,796,0,0,0,0,0,0,13,12,233,173,173,173,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,4,2,43,0,0,5,5,10,6,6,4,253,799,1188,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,879,0,939,0,0,176,1,200,26,175,173,21,22,0,0,0,0,1,250,250,250,250,251,5,1,1,12,0,0,0,0,0,0,0,0,6,0,604,0,0,1093,13,0,146,146,146,1409,582,1,51,291,4,288,16,0,0,0,404,1,289,16,1134,0,0,0,0,0,257,21,22,275,275,90,268,341,2,2,2,2,2,2,2,36,311,0,0,174,0,0,0,0,0,0,4,11,0,4,9,0,7,0,43,972,972,972,369,353,1485,26,0,0,1,0,0,7,0,0,39,39,55,61,61,61,23,5,0,0,0,26,3,26,0,0,0,27,0,1,0,30,203,173,4,4,0,0,37,37,37,0,0,0,0,5,5,0,5,290,0,0,0,0,0,0,0,2,0,330,330,45,330,331,1,5,370,370,370,48,371,14,0,0,0,0,2,13,0,0,0,0,2,,,
Madrid,"smart city,city in motion",62.7,72.5,59.4,65.7,6199000,6,45,Spain,ES,25,66,41,38,53,55,30,11,49,5,216393,46,37,1,0,1,58,30,66,66,36,36,0,0,66,45,39,55,66,36,0,0,2,33,2,2,7,2,2,2,2,31,1,41,19,0,0,6508,6508,5132,1,0,0,1582,47,0,0,4762,4762,1,1,1,1,1,0,76,56,1322,909,902,942,21,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,21,1,1,1,0,20,20,21,20,21,398,2,0,28,28,50,31,31,24,848,4766,7335,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,55,5293,13,5373,0,0,1003,41,1100,124,1003,974,5506,6982,10,29,54,29,4,1710,1722,1722,1722,1722,28,4,4,53,0,0,0,0,0,0,0,0,87,1,3464,0,0,6539,34,50,1146,1146,1146,8622,3333,3,273,1855,73,1848,12,0,0,0,3007,4,1853,188,6888,0,0,0,0,0,2703,5106,6583,1751,1751,559,1599,2039,71,71,71,71,71,71,70,71,1900,1,1,1018,0,0,0,0,0,0,27,151,9,24,77,0,17,7,270,4833,4833,4833,1353,1166,8063,392,0,1,49,0,0,56,0,0,202,202,243,267,267,267,125,39,3,0,2,6612,16,6632,0,0,0,133,0,49,0,162,1145,983,8,8,0,0,72,72,72,0,0,0,0,39,39,4,39,1887,0,0,0,0,0,0,0,69,3,2076,2076,312,2075,2076,1,26,2333,2334,2335,220,2336,254,0,0,0,0,77,360,0,0,7,0,14,,,
Makassar,smart city,70.2,88.5,80.4,57.1,1489000,2,96,Indonesia,ID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26910,0,1,0,0,0,153,153,153,152,4,0,0,0,152,15,29,1,148,0,0,0,0,1,0,0,0,0,0,0,0,4,0,14,7,0,0,618,618,55,0,0,0,283,0,0,0,522,522,0,0,0,0,0,0,179,45,246,198,198,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,8,11,8,8,7,50,526,605,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,552,6,552,0,0,216,6,224,12,216,209,2,2,0,0,1,0,0,298,301,301,301,301,8,0,0,11,0,0,0,0,0,0,0,0,1,0,517,0,0,621,14,1,70,71,71,680,497,0,19,307,1,297,0,0,0,0,41,0,297,50,684,0,0,0,0,0,32,2,2,281,281,183,279,301,1,1,1,1,1,1,1,0,298,0,0,211,0,0,0,0,0,0,0,9,0,0,10,0,0,0,233,629,629,629,115,64,748,14,0,0,0,0,0,0,0,0,227,227,241,244,244,244,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,219,630,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,1,0,304,304,240,304,304,2,8,797,797,797,240,797,226,0,0,0,0,1,19,0,0,2,2,0,,,
Málaga,city in motion,N/A,N/A,N/A,N/A,590000,N/A,N/A,Spain,ES,82,107,99,55,82,108,99,61,101,21,12547,1,2,0,0,0,8,2,8,8,8,6,0,0,8,3,4,6,8,6,0,0,0,1,0,0,0,0,0,0,0,3,0,3,1,0,0,328,328,328,0,0,0,120,1,0,0,331,331,0,0,0,0,0,0,6,5,72,34,34,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,0,0,2,2,2,2,2,1,82,330,455,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,284,0,288,0,0,40,1,48,9,40,37,2,2,0,0,3,0,0,123,123,123,123,123,2,0,0,4,0,0,0,0,0,0,0,0,0,0,177,0,0,332,0,4,48,48,48,511,172,0,11,128,5,128,0,0,0,0,188,0,128,3,340,0,0,0,0,0,1962,2,2,125,125,33,118,135,4,4,4,4,4,4,4,6,131,0,0,39,0,0,0,0,0,0,1,6,0,0,3,0,0,0,12,292,292,292,115,111,453,33,0,0,0,0,0,0,0,0,7,7,8,8,8,8,24,0,0,0,0,1,0,2,0,0,0,52,0,0,0,12,48,36,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,4,0,145,145,10,144,145,1,2,150,150,150,7,150,10,0,0,0,0,4,25,0,0,1,0,1,,,
Manama,city in motion,N/A,N/A,N/A,N/A,1721000,N/A,N/A,Bahrain,BH,160,104,157,46,167,168,165,134,120,141,1340,0,1,0,0,0,4,4,4,4,0,0,0,0,4,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,42,42,35,0,0,0,16,0,0,0,16,16,0,0,0,0,0,0,0,0,17,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,15,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,32,0,0,12,0,18,6,12,12,0,0,0,1,1,1,0,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,42,0,1,11,11,11,52,18,0,0,15,0,15,0,0,0,0,22,0,15,0,43,0,0,0,0,0,31,0,0,14,14,6,14,15,1,1,1,1,1,1,1,1,15,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,30,30,30,11,11,54,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,20,14,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,16,16,0,16,16,0,0,27,27,27,0,27,0,0,0,0,0,1,10,0,0,1,0,2,,,
Manchester,"smart city,city in motion",61.7,72.5,58.3,71.7,2646000,8,17,United Kingdom,GB,71,55,50,58,105,80,69,78,44,79,51186,30,6,0,0,0,7,4,7,7,4,3,0,0,7,20,14,3,7,3,0,0,1,5,1,1,2,1,1,1,1,4,0,18,15,0,0,1720,1720,1235,0,0,0,333,30,0,0,1111,1111,0,0,0,0,0,0,29,4,536,239,239,242,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,0,0,16,16,10,17,17,16,92,1112,1893,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,8,1511,0,1537,0,0,251,2,258,10,251,245,1577,1646,2,7,12,7,9,351,352,352,353,353,16,9,9,19,0,0,0,0,0,0,0,0,8,0,809,0,0,1717,4,13,186,187,187,2119,798,0,54,387,11,386,2,0,0,0,888,9,389,34,1765,0,0,0,0,0,673,1542,1608,377,377,107,360,456,15,15,15,15,15,15,15,28,397,0,0,252,0,0,0,0,0,0,12,16,0,0,17,0,34,0,39,965,966,966,167,133,1902,23,0,9,10,0,0,2,0,0,25,25,34,37,38,38,23,1,0,0,0,1598,3,1615,0,0,0,6,0,10,0,14,266,252,1,1,0,0,27,27,27,0,0,0,0,0,0,0,1,388,0,0,0,0,0,0,0,14,0,450,450,70,450,451,1,16,515,515,516,29,516,53,0,0,0,0,14,36,0,0,3,0,1,,,
Manila,"smart city,city in motion",73,85.9,70.2,54.8,12946000,1,104,Philippines,PH,165,161,147,158,145,165,154,99,147,171,17216,0,7,0,0,0,18,13,18,18,6,5,0,0,18,2,4,5,17,5,0,0,0,7,0,0,0,0,0,0,0,3,0,2,1,0,0,345,345,236,0,0,0,291,0,0,0,495,495,0,0,0,0,0,0,24,18,220,75,64,78,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,4,5,18,0,0,2,2,4,2,2,1,21,495,646,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,6,276,3,284,0,0,90,3,102,18,78,72,147,148,0,4,7,4,0,314,316,316,316,316,2,0,0,4,0,0,0,0,0,0,0,0,2,0,179,0,0,349,10,7,65,65,65,722,175,1,24,313,10,307,1,0,0,0,176,0,309,13,381,0,0,0,0,0,91,136,137,300,300,71,284,325,9,9,9,9,9,9,9,3,316,0,0,93,0,0,0,0,0,0,0,14,0,4,10,0,1,0,23,214,214,214,28,15,398,23,0,0,0,0,0,5,0,0,17,17,29,33,33,33,0,5,0,0,2,128,1,139,0,0,0,0,0,0,0,20,108,87,2,2,0,0,3,3,3,0,0,0,0,4,4,0,5,319,0,0,0,0,0,0,0,10,0,332,332,35,332,332,1,2,341,341,341,27,341,19,0,0,0,0,10,37,0,0,2,0,1,,,
Maribor,circular city,N/A,N/A,N/A,N/A,96000,N/A,N/A,Slovenia,SI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6438,0,4,0,0,0,1,1,1,1,0,0,0,0,1,1,5,0,1,0,0,0,0,3,0,0,0,0,0,0,0,4,0,1,1,0,0,182,183,136,0,0,0,82,0,0,0,255,255,0,0,0,0,0,0,1,0,60,27,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,5,1,1,1,26,256,319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,163,0,167,0,0,27,0,29,2,27,27,0,0,0,1,4,1,0,86,86,86,86,86,1,0,0,5,0,0,0,0,0,0,0,0,0,0,87,0,0,187,0,4,18,18,18,345,84,0,6,91,1,91,0,0,0,0,103,0,92,5,194,0,0,0,0,0,67,0,0,85,85,13,82,96,4,4,4,4,4,4,4,2,94,0,0,28,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,104,104,104,21,16,209,12,0,0,26,0,0,3,0,0,3,3,3,4,4,4,1,3,2,0,0,0,0,0,0,0,0,3,0,31,0,3,32,29,0,0,0,0,2,2,2,0,0,0,0,2,2,0,3,96,0,0,0,0,0,0,0,4,0,104,104,7,104,104,0,1,114,114,114,3,114,6,0,0,0,0,4,1,0,0,2,0,0,,,
Marseille,"smart city,city in motion",52.2,68.6,42.4,71.2,1605000,4,78,France,FR,93,122,92,77,95,72,82,84,97,48,15572,0,0,0,0,0,8,4,8,8,0,4,0,0,8,10,3,5,8,4,0,0,0,0,0,0,0,0,0,0,0,7,0,6,5,0,0,539,539,247,0,0,0,167,0,0,0,423,423,0,0,0,0,0,0,4,2,108,75,74,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,25,0,0,6,6,10,10,10,5,116,422,635,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,463,0,469,0,0,86,1,91,8,85,79,7,7,0,0,1,0,2,174,176,176,176,176,6,2,2,12,0,0,0,0,0,0,0,0,0,0,286,0,0,542,6,0,69,69,69,713,266,0,25,189,7,186,2,0,0,0,190,2,186,8,578,0,0,0,0,0,228,7,7,156,156,63,147,174,1,1,1,1,1,1,1,28,190,0,0,88,0,0,0,0,0,0,0,10,0,0,8,0,4,0,15,430,430,430,143,135,708,17,0,2,0,0,0,5,0,0,12,12,21,22,22,22,9,4,0,0,0,7,1,8,0,0,0,16,0,0,0,10,94,84,4,4,0,0,28,28,28,0,0,0,0,4,4,0,4,190,0,0,0,0,0,0,0,1,0,200,200,21,200,200,1,5,212,212,212,16,212,11,0,0,0,0,1,9,0,0,0,0,1,,,
